Reservation_ID,Payment,Rate,Promo_Code,GST_Amount,Total_Amount,Rate_Plan
RES-00001,upi,1500/day,BOGUS99,75.0,1575.0,standard
RES-00002,UPI,800,,,840.0,standard
RES-00003,card,2500,BOGUS99,,2625.0,eco
RES-00004,card,2500,BOGUS99,125.0,2625.0,eco
RES-00005,wallet,1200/day,BOGUS99,,1260.0,premium
RES-00006,UPI,₹2000/day,DISC15,100.0,2100.0,standard
RES-00007,wallet,₹2500/day,BOGUS99,125.0,2625.0,standard
RES-00008,Card,1000/day,,50.0,1050.0,premium
RES-00009,UPI,1200/day,BOGUS99,,1260.0,eco
RES-00010,card,"₹ 2,000 /day",SAVE10,100.0,2100.0,standard
RES-00011,UPI,800,,40.0,840.0,premium
RES-00012,UPI,1500/day,BOGUS99,75.0,1575.0,premium
RES-00013,upi,₹800/day,DISC15,40.0,840.0,standard
RES-00014,card,2500,,125.0,2625.0,standard
RES-00015,upi,1200,SAVE10,60.0,1260.0,eco
RES-00016,cash,₹1200/day,SAVE10,60.0,1260.0,eco
RES-00017,Card,2000,DISC15,100.0,2100.0,eco
RES-00018,UPI,₹1000/day,BOGUS99,50.0,1050.0,premium
RES-00019,wallet,"₹ 1,500 /day",,,1575.0,premium
RES-00020,UPI,"₹ 1,000 /day",SAVE10,50.0,1050.0,premium
RES-00021,cash,1000,SAVE10,50.0,1050.0,eco
RES-00022,upi,₹800/day,,40.0,840.0,standard
RES-00023,Card,"₹ 2,000 /day",SAVE10,100.0,2100.0,standard
RES-00024,Card,1000,SAVE10,50.0,1050.0,premium
RES-00025,UPI,₹2500/day,,125.0,2625.0,standard
RES-00026,cash,"₹ 1,500 /day",,75.0,1575.0,premium
RES-00027,wallet,1500/day,BOGUS99,75.0,1575.0,eco
RES-00028,upi,800,BOGUS99,40.0,840.0,eco
RES-00029,upi,"₹ 2,000 /day",SAVE10,100.0,2100.0,premium
RES-00030,cash,₹1200/day,SAVE10,60.0,1260.0,premium
RES-00031,Card,800/day,SAVE10,,840.0,premium
RES-00032,card,2000/day,,100.0,2100.0,standard
RES-00033,card,2500/day,BOGUS99,,2625.0,standard
RES-00034,UPI,₹1200/day,BOGUS99,,1260.0,premium
RES-00035,UPI,1000/day,DISC15,50.0,1050.0,standard
RES-00036,wallet,"₹ 2,500 /day",DISC15,,2625.0,eco
RES-00037,cash,"₹ 2,500 /day",SAVE10,125.0,2625.0,premium
RES-00038,UPI,2000/day,DISC15,100.0,2100.0,standard
